i coeff
21 0.621981
29 0.601807
13 0.565619
8 0.505011
116 0.499655
3 0.490469
66 0.374519
1 0.360656
40 0.191263
94 0.186964
67 0.181363
17 0.171306
46 0.135082
112 0.132260
6 0.128882
53 0.120640
31 0.119073
50 0.118090
52 0.109526
62 0.108142
64 0.107937
192 0.106163
58 0.099194
119 0.095516
117 0.091702
103 0.090914
69 0.085519
174 0.080894
153 0.080752
34 0.075991
22 0.075192
171 0.074999
25 0.069746
98 0.068942
167 0.068217
100 0.067469
87 0.066987
63 0.061474
82 0.060928
199 0.060804
188 0.060522
57 0.059440
39 0.057437
24 0.056939
36 0.054547
15 0.051201
123 0.049840
27 0.049817
43 0.046434
28 0.044162
38 0.038926
110 0.038647
89 0.038042
169 0.036894
155 0.033389
78 0.029096
122 0.028708
76 0.027898
194 0.026864
49 0.025640
10 0.025252
157 0.023728
90 0.023033
142 0.022326
61 0.020575
140 0.019759
200 0.017554
197 0.017096
195 0.016880
170 0.016650
208 0.016564
186 0.015109
42 0.011964
106 0.011789
85 0.010820
191 0.010526
83 0.010378
158 0.009583
120 0.008940
178 0.008687
145 0.008620
163 0.008146
151 0.008078
180 0.007063
44 0.006877
70 0.005601
164 0.005520
160 0.004868
149 0.003938
132 0.003925
147 0.003809
184 0.003768
84 0.003443
128 0.002845
126 0.002346
133 0.002283
130 0.002183
205 0.001711
146 0.001401
148 0.000939
162 0.000288
182 0.000185
203 0.000088
176 0.000056
0 0.000000
177 -0.000036
127 -0.000448
204 -0.000471
207 -0.000899
185 -0.001538
105 -0.001583
159 -0.001637
136 -0.001671
125 -0.001937
183 -0.002021
209 -0.002311
129 -0.002476
73 -0.002933
187 -0.003240
161 -0.003553
196 -0.003679
138 -0.004174
55 -0.004847
37 -0.005082
135 -0.005490
202 -0.007323
80 -0.007787
134 -0.008830
150 -0.010414
74 -0.010430
79 -0.010517
35 -0.011368
144 -0.011561
104 -0.012017
181 -0.012107
137 -0.013130
166 -0.013377
156 -0.013757
131 -0.014486
45 -0.014553
175 -0.014633
190 -0.016340
206 -0.016707
60 -0.016753
72 -0.017555
71 -0.018406
189 -0.018674
108 -0.018698
75 -0.019077
141 -0.020788
91 -0.022559
201 -0.023002
121 -0.024412
113 -0.024857
56 -0.027228
107 -0.027844
165 -0.028011
124 -0.028437
95 -0.028743
33 -0.029878
88 -0.030017
114 -0.030062
48 -0.030121
143 -0.032004
179 -0.035946
81 -0.038959
139 -0.040760
26 -0.041114
93 -0.041896
198 -0.046441
92 -0.049258
168 -0.051569
59 -0.053105
77 -0.055301
154 -0.059714
20 -0.062276
102 -0.072585
86 -0.077936
109 -0.079517
47 -0.087687
19 -0.089643
193 -0.092762
54 -0.095896
16 -0.096628
173 -0.105773
96 -0.109281
97 -0.128665
101 -0.135223
99 -0.148500
152 -0.150841
51 -0.158837
41 -0.164707
172 -0.167181
65 -0.181250
2 -0.182953
32 -0.183704
111 -0.187817
5 -0.223606
18 -0.229290
14 -0.230671
115 -0.257530
68 -0.261765
118 -0.270875
9 -0.272221
23 -0.300460
4 -0.355498
30 -0.367631
11 -0.544440
7 -0.545095
12 -0.581436
