,i,coeff,abs,term
0,21,0.621981,0.621981,epsilon1 epsilon2 fB
1,29,0.601807,0.601807,epsilon2 sigma fB
209,12,-0.581436,0.581436,sigma^2
2,13,0.565619,0.565619,sigma fB
208,7,-0.545095,0.545095,epsilon1 sigma
207,11,-0.54444,0.54444,epsilon2 fB
3,8,0.505011,0.505011,epsilon1 fB
4,116,0.499655,0.499655,epsilon2 sigma^3 fB
5,3,0.490469,0.490469,sigma
6,66,0.374519,0.374519,sigma^3 fB
206,30,-0.367631,0.367631,epsilon2 fB^2
7,1,0.360656,0.360656,epsilon1
205,4,-0.355498,0.355498,fB
204,23,-0.30046,0.30046,epsilon1 sigma fB
203,9,-0.272221,0.272221,epsilon2^2
202,118,-0.270875,0.270875,epsilon2 sigma fB^3
201,68,-0.261765,0.261765,sigma fB^3
200,115,-0.25753,0.25753,epsilon2 sigma^4
199,14,-0.230671,0.230671,fB^2
198,18,-0.22929,0.22929,epsilon1^2 fB
197,5,-0.223606,0.223606,epsilon1^2
8,40,0.191263,0.191263,epsilon1^2 epsilon2 sigma
196,111,-0.187817,0.187817,epsilon2^2 sigma^3
9,94,0.186964,0.186964,epsilon1 epsilon2^2 sigma fB
195,32,-0.183704,0.183704,sigma^2 fB
194,2,-0.182953,0.182953,epsilon2
10,67,0.181363,0.181363,sigma^2 fB^2
193,65,-0.18125,0.18125,sigma^4
11,17,0.171306,0.171306,epsilon1^2 sigma
192,172,-0.167181,0.167181,epsilon1 epsilon2 sigma^3 fB
191,41,-0.164707,0.164707,epsilon1^2 epsilon2 fB
190,51,-0.158837,0.158837,epsilon1 sigma^3
189,152,-0.150841,0.150841,epsilon1^2 epsilon2 sigma^3
188,99,-0.1485,0.1485,epsilon1 epsilon2 fB^3
187,101,-0.135223,0.135223,epsilon1 sigma^3 fB
12,46,0.135082,0.135082,epsilon1 epsilon2^2 sigma
13,112,0.13226,0.13226,epsilon2^2 sigma^2 fB
14,6,0.128882,0.128882,epsilon1 epsilon2
186,97,-0.128665,0.128665,epsilon1 epsilon2 sigma^2 fB
15,53,0.12064,0.12064,epsilon1 sigma fB^2
16,31,0.119073,0.119073,sigma^3
17,50,0.11809,0.11809,epsilon1 epsilon2 fB^2
18,52,0.109526,0.109526,epsilon1 sigma^2 fB
185,96,-0.109281,0.109281,epsilon1 epsilon2 sigma^3
19,62,0.108142,0.108142,epsilon2 sigma^2 fB
20,64,0.107937,0.107937,epsilon2 fB^3
21,192,0.106163,0.106163,epsilon2^2 sigma^4
184,173,-0.105773,0.105773,epsilon1 epsilon2 sigma^2 fB^2
22,58,0.099194,0.099194,epsilon2^2 sigma^2
183,16,-0.096628,0.096628,epsilon1^2 epsilon2
182,54,-0.095896,0.095896,epsilon1 fB^3
23,119,0.095516,0.095516,epsilon2 fB^4
181,193,-0.092762,0.092762,epsilon2^2 sigma^3 fB
24,117,0.091702,0.091702,epsilon2 sigma^2 fB^2
