n RMSE R2
1 0.643365 0.0016
2 0.641996 0.0059
3 0.635930 0.0245
4 0.624038 0.0607
5 0.620208 0.0722
6 0.618986 0.0758
7 0.615052 0.0875
8 0.613086 0.0934
9 0.591956 0.1548
10 0.591829 0.1552
11 0.559652 0.2445
12 0.518315 0.3520
13 0.474660 0.4566
14 0.473675 0.4588
15 0.407022 0.6004
16 0.407246 0.6000
17 0.405584 0.6032
18 0.400592 0.6129
19 0.391745 0.6298
20 0.389802 0.6335
21 0.379828 0.6520
22 0.378025 0.6553
23 0.367611 0.6740
24 0.366702 0.6757
25 0.366121 0.6767
26 0.344428 0.7139
27 0.322848 0.7486
28 0.322920 0.7485
29 0.323227 0.7480
30 0.323194 0.7481
31 0.322478 0.7492
32 0.312627 0.7643
33 0.312580 0.7643
34 0.312489 0.7645
35 0.312467 0.7645
36 0.312662 0.7642
37 0.310423 0.7676
38 0.296936 0.7873
39 0.297002 0.7872
40 0.295463 0.7894
41 0.294514 0.7908
42 0.294047 0.7914
43 0.294044 0.7914
44 0.293416 0.7923
45 0.293465 0.7923
46 0.293003 0.7929
47 0.293705 0.7919
48 0.293713 0.7919
49 0.291646 0.7948
50 0.276347 0.8158
51 0.275303 0.8172
52 0.273561 0.8195
53 0.272437 0.8210
54 0.272125 0.8214
55 0.272152 0.8213
56 0.271100 0.8227
57 0.269947 0.8242
58 0.264519 0.8312
59 0.264810 0.8309
60 0.264895 0.8307
61 0.264876 0.8308
62 0.265510 0.8300
63 0.264836 0.8308
64 0.264308 0.8315
65 0.263327 0.8327
66 0.262093 0.8343
67 0.257664 0.8399
68 0.257446 0.8401
69 0.256431 0.8414
70 0.256207 0.8417
71 0.256370 0.8415
72 0.256011 0.8419
73 0.249319 0.8501
74 0.249490 0.8499
75 0.252272 0.8465
76 0.251961 0.8469
77 0.251540 0.8474
78 0.249666 0.8496
79 0.247874 0.8518
80 0.247783 0.8519
81 0.246839 0.8530
82 0.246487 0.8535
83 0.246683 0.8532
84 0.246448 0.8535
85 0.244961 0.8553
86 0.245196 0.8550
87 0.245176 0.8550
88 0.244617 0.8557
89 0.241839 0.8589
90 0.241626 0.8592
91 0.242516 0.8581
92 0.242290 0.8584
93 0.242310 0.8584
94 0.242785 0.8578
95 0.242802 0.8578
96 0.242560 0.8581
97 0.241612 0.8592
98 0.241593 0.8592
99 0.241274 0.8596
100 0.240235 0.8608
101 0.239743 0.8614
102 0.239578 0.8616
103 0.240237 0.8608
104 0.235035 0.8668
105 0.235037 0.8668
106 0.233752 0.8682
107 0.233873 0.8681
108 0.233518 0.8685
109 0.234174 0.8677
110 0.234228 0.8677
111 0.232671 0.8694
112 0.232723 0.8694
113 0.232421 0.8697
114 0.232422 0.8697
115 0.232650 0.8694
116 0.232310 0.8698
117 0.231798 0.8704
118 0.231311 0.8709
119 0.231012 0.8713
120 0.232024 0.8701
121 0.231817 0.8704
122 0.231969 0.8702
123 0.231535 0.8707
124 0.234741 0.8671
125 0.233908 0.8680
126 0.234784 0.8670
127 0.236141 0.8655
128 0.235398 0.8663
129 0.235484 0.8662
130 0.235623 0.8661
131 0.235428 0.8663
132 0.231281 0.8710
133 0.231209 0.8711
134 0.229203 0.8733
135 0.228731 0.8738
136 0.228700 0.8738
137 0.210705 0.8929
138 0.209853 0.8938
139 0.210199 0.8934
140 0.209058 0.8946
141 0.209375 0.8943
142 0.209367 0.8943
143 0.209222 0.8944
144 0.209127 0.8945
145 0.209512 0.8941
146 0.209880 0.8937
147 0.209813 0.8938
148 0.209716 0.8939
149 0.209596 0.8940
150 0.209983 0.8936
151 0.210064 0.8936
152 0.210343 0.8933
153 0.211092 0.8925
154 0.210892 0.8927
155 0.211582 0.8920
156 0.211707 0.8919
157 0.211993 0.8916
158 0.211892 0.8917
159 0.211887 0.8917
160 0.211249 0.8924
161 0.212188 0.8914
162 0.211877 0.8917
163 0.212169 0.8914
164 0.211878 0.8917
165 0.212176 0.8914
166 0.212246 0.8913
167 0.212220 0.8914
168 0.212276 0.8913
169 0.212187 0.8914
170 0.212219 0.8914
171 0.212195 0.8914
172 0.212155 0.8914
173 0.212153 0.8914
174 0.212196 0.8914
175 0.212058 0.8915
176 0.211625 0.8920
177 0.211631 0.8920
178 0.211639 0.8920
179 0.211634 0.8920
180 0.211792 0.8918
181 0.211556 0.8920
182 0.211429 0.8922
183 0.211360 0.8922
184 0.211478 0.8921
185 0.211318 0.8923
186 0.211256 0.8924
187 0.211250 0.8924
188 0.211325 0.8923
189 0.211230 0.8924
190 0.211243 0.8924
191 0.211196 0.8924
192 0.211251 0.8924
193 0.211287 0.8923
194 0.211285 0.8923
195 0.210851 0.8928
196 0.210655 0.8930
197 0.210873 0.8927
198 0.210875 0.8927
199 0.210916 0.8927
200 0.210920 0.8927
201 0.211003 0.8926
202 0.210926 0.8927
203 0.211216 0.8924
204 0.211225 0.8924
205 0.211194 0.8924
206 0.211173 0.8924
207 0.211918 0.8917
208 0.211850 0.8917
209 0.211845 0.8918
210 0.211845 0.8918
