n RMSE R2
1 0.632023 0.0365
2 0.630855 0.0401
3 0.613673 0.0916
4 0.598071 0.1372
5 0.593936 0.1491
6 0.579523 0.1899
7 0.573711 0.2061
8 0.566197 0.2267
9 0.564439 0.2315
10 0.538472 0.3006
11 0.539171 0.2988
12 0.407897 0.5987
13 0.396065 0.6216
14 0.384123 0.6441
15 0.385671 0.6412
16 0.375086 0.6606
17 0.374867 0.6610
18 0.374184 0.6623
19 0.366900 0.6753
20 0.368118 0.6731
21 0.364760 0.6791
22 0.364631 0.6793
23 0.359800 0.6877
24 0.358094 0.6907
25 0.356666 0.6932
26 0.354440 0.6970
27 0.350417 0.7038
28 0.348802 0.7065
29 0.345288 0.7124
30 0.343880 0.7148
31 0.343854 0.7148
32 0.343944 0.7147
33 0.344150 0.7143
34 0.344149 0.7143
35 0.344149 0.7143
