i coeff
21 0.806676
8 0.638518
1 0.352494
6 0.249259
50 0.223605
24 0.205508
119 0.143769
82 0.135501
25 0.125037
89 0.095043
155 0.092919
39 0.083336
15 0.080133
57 0.073046
38 0.059995
36 0.045802
151 0.043150
90 0.042870
202 0.041809
160 0.033124
85 0.031215
110 0.028875
209 0.026668
105 0.022258
125 0.021405
191 0.015405
76 0.014926
163 0.014640
70 0.010487
126 0.007742
136 0.006199
145 0.004550
146 0.004363
127 0.003910
187 0.002900
107 0.001991
196 0.001179
12 0.000000
88 0.000000
87 0.000000
86 0.000000
3 0.000000
10 0.000000
109 0.000000
84 0.000000
83 0.000000
13 0.000000
81 0.000000
108 0.000000
91 0.000000
7 0.000000
208 0.000000
93 0.000000
94 0.000000
96 0.000000
98 0.000000
106 0.000000
100 0.000000
101 0.000000
102 0.000000
103 0.000000
97 0.000000
28 0.000000
78 0.000000
43 0.000000
52 0.000000
51 0.000000
23 0.000000
49 0.000000
48 0.000000
46 0.000000
42 0.000000
77 0.000000
40 0.000000
26 0.000000
37 0.000000
33 0.000000
32 0.000000
31 0.000000
53 0.000000
56 0.000000
22 0.000000
58 0.000000
59 0.000000
61 0.000000
111 0.000000
20 0.000000
63 0.000000
65 0.000000
66 0.000000
67 0.000000
68 0.000000
72 0.000000
17 0.000000
75 0.000000
29 0.000000
62 0.000000
0 0.000000
112 0.000000
113 0.000000
174 0.000000
173 0.000000
172 0.000000
171 0.000000
169 0.000000
168 0.000000
204 0.000000
167 0.000000
201 0.000000
165 0.000000
164 0.000000
162 0.000000
159 0.000000
157 0.000000
156 0.000000
154 0.000000
203 0.000000
200 0.000000
152 0.000000
186 0.000000
194 0.000000
193 0.000000
192 0.000000
190 0.000000
189 0.000000
188 0.000000
197 0.000000
185 0.000000
176 0.000000
198 0.000000
183 0.000000
180 0.000000
179 0.000000
178 0.000000
177 0.000000
199 0.000000
153 0.000000
158 0.000000
134 0.000000
124 0.000000
137 0.000000
133 0.000000
205 0.000000
131 0.000000
206 0.000000
128 0.000000
207 0.000000
123 0.000000
140 0.000000
122 0.000000
121 0.000000
120 0.000000
118 0.000000
117 0.000000
116 0.000000
115 0.000000
139 0.000000
195 0.000000
150 0.000000
143 0.000000
149 0.000000
142 0.000000
147 0.000000
144 0.000000
184 -0.002397
182 -0.003243
130 -0.004401
161 -0.004534
60 -0.004701
69 -0.006979
135 -0.008234
129 -0.008383
138 -0.009152
114 -0.009412
181 -0.010004
148 -0.010939
170 -0.011144
34 -0.015271
132 -0.015671
71 -0.016271
79 -0.016284
80 -0.017531
141 -0.026588
73 -0.028115
166 -0.028599
35 -0.038039
74 -0.038059
19 -0.040167
64 -0.048345
47 -0.056235
55 -0.062457
44 -0.063354
175 -0.066805
27 -0.067220
95 -0.069110
104 -0.071593
45 -0.093960
92 -0.102101
16 -0.128623
54 -0.143350
14 -0.162913
41 -0.196757
99 -0.211441
5 -0.228657
9 -0.270153
2 -0.283892
4 -0.316349
18 -0.333817
30 -0.483641
11 -0.527374
