,i,coeff,abs,term
14,2,-0.304167,0.304167,epsilon2
0,1,0.295018,0.295018,epsilon1
13,4,-0.272883,0.272883,fB
1,8,0.23371999999999998,0.23371999999999998,epsilon1 fB
12,11,-0.20084000000000002,0.20084000000000002,epsilon2 fB
11,9,-0.098065,0.098065,epsilon2^2
10,5,-0.090152,0.090152,epsilon1^2
2,14,0.057414,0.057414,fB^2
3,6,0.009779000000000001,0.009779000000000001,epsilon1 epsilon2
4,13,0.0,0.0,sigma fB
5,12,0.0,0.0,sigma^2
6,10,0.0,0.0,epsilon2 sigma
7,7,0.0,0.0,epsilon1 sigma
8,3,0.0,0.0,sigma
9,0,0.0,0.0,1
