epsilon1 epsilon2 fB
-0.900 1.000 0.10
-0.900 1.040 0.10
-0.900 1.081 0.10
-0.900 1.121 0.10
-0.900 1.162 0.10
-0.900 1.202 0.10
-0.900 1.242 0.10
-0.900 1.283 0.10
-0.900 1.323 0.10
-0.900 1.364 0.10
-0.900 1.404 0.10
-0.900 1.444 0.10
-0.900 1.485 0.10
-0.900 1.525 0.10
-0.900 1.566 0.10
-0.900 1.606 0.10
-0.900 1.646 0.10
-0.900 1.687 0.10
-0.900 1.727 0.10
-0.900 1.768 0.10
-0.900 1.808 0.10
-0.900 1.848 0.10
-0.900 1.889 0.10
-0.900 1.929 0.10
-0.900 1.970 0.10
-0.900 2.010 0.10
-0.900 2.051 0.10
-0.900 2.091 0.10
-0.900 2.131 0.10
-0.900 2.172 0.10
-0.900 2.212 0.10
-0.900 2.253 0.10
-0.900 2.293 0.10
-0.900 2.333 0.10
-0.900 2.374 0.10
-0.900 2.414 0.10
-0.900 2.455 0.10
-0.900 2.495 0.10
-0.900 2.535 0.10
-0.900 2.576 0.10
-0.900 2.616 0.10
-0.900 2.657 0.10
-0.900 2.697 0.10
-0.900 2.737 0.10
-0.900 2.778 0.10
-0.900 2.818 0.10
-0.900 2.859 0.10
-0.900 2.899 0.10
-0.900 2.939 0.10
-0.900 2.980 0.10
-0.900 3.020 0.10
-0.900 3.061 0.10
-0.900 3.101 0.10
-0.900 3.141 0.10
-0.900 3.182 0.10
-0.900 3.222 0.10
-0.900 3.263 0.10
-0.900 3.303 0.10
-0.900 3.343 0.10
-0.900 3.384 0.10
-0.900 3.424 0.10
-0.900 3.465 0.10
-0.900 3.505 0.10
-0.900 3.545 0.10
-0.900 3.586 0.10
-0.900 3.626 0.10
-0.900 3.667 0.10
-0.900 3.707 0.10
-0.900 3.747 0.10
-0.900 3.788 0.10
-0.900 3.828 0.10
-0.900 3.869 0.10
-0.900 3.909 0.10
-0.900 3.949 0.10
-0.900 3.990 0.10
-0.900 4.030 0.10
-0.900 4.071 0.10
-0.900 4.111 0.10
-0.900 4.152 0.10
-0.900 4.192 0.10
-0.900 4.232 0.10
-0.900 4.273 0.10
-0.900 4.313 0.10
-0.900 4.354 0.10
-0.900 4.394 0.10
-0.900 4.434 0.10
-0.900 4.475 0.10
-0.900 4.515 0.10
-0.900 4.556 0.10
-0.900 4.596 0.10
-0.900 4.636 0.10
-0.900 4.677 0.10
-0.900 4.717 0.10
-0.900 4.758 0.10
-0.900 4.798 0.10
-0.900 4.838 0.10
-0.900 4.879 0.10
-0.900 4.919 0.10
-0.900 4.960 0.10
-0.900 5.000 0.10
-0.891 1.000 0.10
-0.891 1.040 0.10
-0.891 1.081 0.10
-0.891 1.121 0.10
-0.891 1.162 0.10
-0.891 1.202 0.10
-0.891 1.242 0.10
-0.891 1.283 0.10
-0.891 1.323 0.10
-0.891 1.364 0.10
-0.891 1.404 0.10
-0.891 1.444 0.10
-0.891 1.485 0.10
-0.891 1.525 0.10
-0.891 1.566 0.10
-0.891 1.606 0.10
-0.891 1.646 0.10
-0.891 1.687 0.10
-0.891 1.727 0.10
-0.891 1.768 0.10
-0.891 1.808 0.10
-0.891 1.848 0.10
-0.891 1.889 0.10
-0.891 1.929 0.10
-0.891 1.970 0.10
-0.891 2.010 0.10
-0.891 2.051 0.10
-0.891 2.091 0.10
-0.891 2.131 0.10
-0.891 2.172 0.10
-0.891 2.212 0.10
-0.891 2.253 0.10
-0.891 2.293 0.10
-0.891 2.333 0.10
-0.891 2.374 0.10
-0.891 2.414 0.10
-0.891 2.455 0.10
-0.891 2.495 0.10
-0.891 2.535 0.10
-0.891 2.576 0.10
-0.891 2.616 0.10
-0.891 2.657 0.10
-0.891 2.697 0.10
-0.891 2.737 0.10
-0.891 2.778 0.10
-0.891 2.818 0.10
-0.891 2.859 0.10
-0.891 2.899 0.10
-0.891 2.939 0.10
-0.891 2.980 0.10
-0.891 3.020 0.10
-0.891 3.061 0.10
-0.891 3.101 0.10
-0.891 3.141 0.10
-0.891 3.182 0.10
-0.891 3.222 0.10
-0.891 3.263 0.10
-0.891 3.303 0.10
-0.891 3.343 0.10
-0.891 3.384 0.10
-0.891 3.424 0.10
-0.891 3.465 0.10
-0.891 3.505 0.10
-0.891 3.545 0.10
-0.891 3.586 0.10
-0.891 3.626 0.10
-0.891 3.667 0.10
-0.891 3.707 0.10
-0.891 3.747 0.10
-0.891 3.788 0.10
-0.891 3.828 0.10
-0.891 3.869 0.10
-0.891 3.909 0.10
-0.891 3.949 0.10
-0.891 3.990 0.10
-0.891 4.030 0.10
-0.891 4.071 0.10
-0.891 4.111 0.10
-0.891 4.152 0.10
-0.891 4.192 0.10
-0.891 4.232 0.10
