epsilonAA  epsilonBB  epsilonAB  Nvoids
1.0 0.2 0.8 0
1.0 0.2 0.75 0
1.0 0.2 0.7 0
1.0 0.2 0.65 0
1.0 0.2 0.6 0
1.0 0.2 0.5 0
1.0 0.25 0.9 0
1.0 0.25 0.85 0
1.0 0.25 0.8 0
1.0 0.25 0.75 0
1.0 0.25 0.7 0
1.0 0.25 0.65 0
1.0 0.25 0.6 0
1.0 0.25 0.55 0
1.0 0.3 0.95 0
1.0 0.3 0.9 0
1.0 0.3 0.85 0
1.0 0.3 0.8 0
1.0 0.3 0.75 0
1.0 0.3 0.7 0
1.0 0.3 0.6 0
1.0 0.3 0.55 0
1.0 0.35 0.95 0
1.0 0.35 0.9 0
1.0 0.35 0.85 0
1.0 0.35 0.8 0
1.0 0.35 0.75 0
1.0 0.35 0.7 0
1.0 0.35 0.65 0
1.0 0.35 0.6 0
1.0 0.4 1.0 0
1.0 0.4 0.85 0
1.0 0.4 0.8 0
1.0 0.4 0.75 0
1.0 0.4 0.7 0
1.0 0.4 0.65 0
1.0 0.4 0.6 0
1.0 0.45 0.9 0
1.0 0.45 0.85 0
1.0 0.45 0.8 0
1.0 0.45 0.75 0
1.0 0.45 0.7 0
1.0 0.45 0.65 0
1.0 0.5 0.9 0
1.0 0.5 0.8 0
1.0 0.5 0.7 0
1.0 0.6 1.0 0
1.0 0.7 1.0 0
1.0 0.7 0.9 0
1.0 0.7 0.8 0
1.0 0.8 1.1 0
1.0 0.8 1.0 1
1.0 0.8 0.9 0
1.0 0.8 0.8 0
1.0 0.9 0.9 0
1.0 1.0 1.2 2
1.0 1.0 1.1 0
1.0 1.0 1.0 0
1.0 1.0 0.9 0
1.0 1.0 0.4 0
1.0 1.0 0.5 0
1.0 1.0 0.6 0
1.0 1.0 0.7 0
1.0 1.0 0.8 0
1.0 1.0 1.3 0
1.0 1.0 1.4 0
1.0 1.0 1.5 0
1.0 1.0 1.6 0
1.0 1.0 1.7 0
1.0 1.0 1.8 0
1.0 1.0 1.9 0
1.0 1.0 2.0 0
1.0 0.9 0.4 0
1.0 0.9 0.5 0
1.0 0.9 0.6 0
1.0 0.9 0.7 0
1.0 0.9 0.8 0
1.0 0.9 1.0 0
1.0 0.9 1.1 0
1.0 0.9 1.2 0
1.0 0.9 1.3 0
1.0 0.9 1.4 0
1.0 0.9 1.5 0
1.0 0.9 1.6 0
1.0 0.9 1.7 0
1.0 0.9 1.8 0
1.0 0.9 1.9 0
1.0 0.8 0.4 0
1.0 0.8 0.5 0
1.0 0.8 0.6 0
1.0 0.8 0.7 0
1.0 0.8 1.2 0
1.0 0.8 1.3 0
1.0 0.8 1.4 0
1.0 0.8 1.5 0
1.0 0.8 1.6 0
1.0 0.8 1.7 0
1.0 0.8 1.8 0
1.0 0.7 0.4 0
1.0 0.7 0.5 0
1.0 0.7 0.6 0
1.0 0.7 0.7 0
1.0 0.7 1.1 0
1.0 0.7 1.2 0
1.0 0.7 1.3 0
1.0 0.7 1.4 0
1.0 0.7 1.5 0
1.0 0.7 1.6 0
1.0 0.7 1.7 0
1.0 0.6 0.3 0
1.0 0.6 0.4 0
1.0 0.6 0.5 1
1.0 0.6 0.6 0
1.0 0.6 0.7 0
1.0 0.6 0.8 0
1.0 0.6 0.9 0
1.0 0.6 1.1 0
1.0 0.6 1.2 0
1.0 0.6 1.3 0
1.0 0.6 1.4 0
1.0 0.6 1.5 0
1.0 0.6 1.6 0
1.0 0.5 0.3 0
1.0 0.5 0.4 0
1.0 0.5 0.5 0
1.0 0.5 0.6 0
1.0 0.5 1.0 0
1.0 0.5 1.1 1
1.0 0.5 1.2 0
1.0 0.5 1.3 0
1.0 0.5 1.4 0
1.0 0.5 1.5 0
1.0 0.4 0.3 0
1.0 0.4 0.4 0
1.0 0.4 0.5 0
1.0 0.4 0.9 0
1.0 0.4 1.1 0
1.0 0.4 1.2 0
1.0 0.4 1.3 0
1.0 0.4 1.4 0
1.0 0.3 0.3 0
1.0 0.3 0.4 0
1.0 0.3 0.5 0
1.0 0.3 1.0 0
1.0 0.3 1.1 0
1.0 0.3 1.2 0
1.0 0.3 1.3 0
1.0 0.2 0.3 0
1.0 0.2 0.4 0
1.0 0.2 0.9 0
1.0 0.2 1.0 0
1.0 0.2 1.1 0
1.0 0.2 1.2 0
1.0 1.0 2.25 1
1.0 1.0 2.5 0
1.0 1.0 3.0 1
1.0 1.0 3.5 0
1.0 1.0 4.0 0
1.0 1.0 4.5 0
1.0 1.0 5.0 0
1.0 0.8 2.0 0
1.0 0.8 2.25 0
1.0 0.8 2.75 0
1.0 0.8 3.25 0
1.0 0.8 3.75 0
1.0 0.8 4.25 0
1.0 0.8 4.5 0
1.0 0.6 1.8 0
1.0 0.6 2.0 0
1.0 0.6 2.5 0
1.0 0.6 3.0 0
1.0 0.6 3.5 0
1.0 0.6 4.0 0
1.0 0.4 1.6 0
1.0 0.4 1.8 0
1.0 0.4 2.25 0
1.0 0.4 2.75 0
1.0 0.4 3.25 0
1.0 0.4 3.5 0
1.0 0.3 1.5 0
1.0 0.3 1.75 0
1.0 0.3 2.25 0
1.0 0.3 2.75 0
1.0 0.3 3.25 0
1.0 0.2 1.5 0
1.0 0.2 1.75 0
1.0 0.2 2.25 0
1.0 0.2 2.75 0
1.0 0.2 3.0 0
1.0 0.1 0.3 0
1.0 0.1 0.5 0
1.0 0.1 0.75 1
1.0 0.1 1.0 2
1.0 0.1 1.25 0
1.0 0.1 1.5 0
1.0 0.1 1.75 0
1.0 0.1 2.0 0
1.0 0.1 2.25 4
1.0 0.1 2.5 4
1.0 0.1 2.75 3
1.0 0.05 0.3 0
1.0 0.05 0.5 3
1.0 0.05 0.75 1
1.0 0.05 1.0 1
1.0 0.05 1.25 0
1.0 0.05 1.5 12
1.0 0.05 1.75 4
1.0 0.05 2.0 4
1.0 0.05 2.25 23
1.0 0.05 2.5 12
